work_id,track_id
5570946,6216641
5570946,11432954
5571796,2482944
5571796,2482945
5572679,2212671
5572679,4137243
5573439,14193192
5573439,17799871
5575482,2955512
5575482,4034735
5575482,6254549
5579186,6273063
5579186,13257431
5579803,1218044
5579803,2456126
5582344,2498890
5582344,3279429
5586260,1783695
5586260,2256793
5587269,1614994
5587269,3153467
5587269,17513333
5587271,985409
5587271,2751682
5587722,150431
5587722,817117
5587722,1734442
5588222,985478
5588222,5746353
5588403,1377389
5588403,3153471
5588404,391942
5588404,1539212
5588404,1614836
5588404,3273886
5588639,318662
5588639,985369
5589554,2015257
5589554,2088605
5595196,1992522
5595196,1992534
5596414,1934319
5596414,1977957
5599904,1812811
5599904,2268486
5603957,2280544
5603957,2280545
5605478,2474572
5605478,3299129
5605997,2134624
5605997,3353505
5609408,1495498
5609408,13344269
5609887,1021888
5609887,1931652
5613228,1158690
5613228,2118588
5618144,3249892
5618144,3250830
5623374,2427100
5623374,2429785
5623582,1974794
5623582,1979048
5623913,11468463
5623913,12668035
5625528,2162234
5625528,2753218
5625890,2586043
5625890,6224994
5631315,1976800
5631315,3244636
5631850,1320874
5631850,2511466
5631850,12296572
5633568,2358428
5633568,3789036
5635640,1976625
5635640,5789254
5636021,1274237
5636021,6254622
5636030,2451756
5636030,12168046
5637844,3327637
5637844,13496575
5638453,2392879
5638453,2392890
5638836,5945921
5638836,6265430
5639591,2222064
5639591,2753785
5640098,2390830
5640098,2390831
5640578,2392885
5640578,2392892
5640778,2465839
5640778,2465843
5647228,1991328
5647228,6227812
5649607,2750541
5649607,2751349
5652541,2424386
5652541,2480663
5653638,2293896
5653638,2423323
5656850,2515870
5656850,2751290
5657246,2938587
5657246,3272630
5657289,2169222
5657289,2579846
5657396,2145216
5657396,2529033
5658193,2367405
5658193,2594940
5659416,1599123
5659416,1877118
5659416,12727271
5660220,2150260
5660220,14614659
5662229,1896082
5662229,1898878
5662235,1401247
5662235,17774559
5662760,1961688
5662760,1973762
5662995,1520609
5662995,1989473
5663569,1805874
5663569,12168055
5668263,2747232
5668263,17790578
5671010,5395150
5671010,13474298
5671591,2085227
5671591,2154926
5673717,2145596
5673717,2294253
5673721,2145600
5673721,2294247
5673723,2145602
5673723,2294248
5673724,2145603
5673724,2294245
5676016,2146773
5676016,3288213
