work_id,track_id
5203567,1977833
5203567,6190053
10408370,6189763
10408370,6190394
2495964,11003499
2495964,1317310
10585023,6263466
10585023,5989197
3053156,1072181
3053156,27091
1762081,1932722
1762081,1991347
1004011,1930604
1004011,1978831
178608,485987
178608,796679
10211285,6131078
10211285,6126800
5871635,2933731
5871635,2287260
13292987,12639205
13292987,12624117
1903067,1442019
1903067,1477202
8988473,12085819
8988473,6292703
15419304,2934408
15419304,2934409
5240856,6193218
5240856,2034871
916678,2001659
916678,2309585
2413081,2454100
2413081,1931816
35521,268736
35521,40193
131834,1682497
131834,22422
869607,1880096
869607,799497
5186384,1983724
5186384,1992102
30628,394470
30628,362172
793069,2381894
793069,2131768
10572907,5999424
10572907,5998818
10410072,5972026
10410072,6188551
982716,1441658
982716,2439750
14525044,12318177
14525044,12271392
10569785,5970189
10569785,5998264
1030296,303847
1030296,2528658
10702857,6074261
10702857,10224777
15558491,12926821
15558491,12908091
279816,1975620
279816,1958394
10935172,6271567
10935172,6270271
6536376,2932727
6536376,3299009
136429,31933
136429,5682239
5261609,2036211
5261609,1972607
267656,309540
267656,677953
5203771,6188578
5203771,1970081
64439,3262752
64439,372660
11541335,9367506
11541335,12127741
62075,2144943
62075,630790
5197384,1970858
5197384,1973436
204063,48961
204063,638301
5260282,2022143
5260282,2025560
5158185,1967414
5158185,1948796
237578,500840
237578,361796
101276,10080929
101276,2442609
38209,710529
38209,2635347
11268528,319085
11268528,2365649
6579704,1927868
6579704,11142051
5235905,1963547
5235905,1961897
5245223,2005251
5245223,2012032
13429306,11662102
13429306,11656263
11961060,13257876
11961060,12032636
12660,6099939
12660,886261
5657396,2145216
5657396,2529033
182137,236384
182137,3092753
12513149,10882152
12513149,10882153
19151669,17699270
19151669,17884708
13432274,11593811
13432274,11659488
5457236,2063802
5457236,3294115
6275888,11338616
6275888,2466241
939763,1130494
939763,1465688
5226362,2094260
5226362,1941391
12489323,2582584
12489323,983938
10524463,5984688
10524463,5941663
104835,2956782
104835,36177
159422,304177
159422,43514
10933908,6275243
10933908,6268769
5150060,2018777
5150060,2020401
2835840,1418398
2835840,1651856
1161062,1970271
1161062,5983490
5208011,1992083
5208011,1967296
207709,286522
207709,17765713
70041,592257
70041,622365
5202721,1980510
5202721,1972686
25243,46259
25243,1026164
1546612,3783743
1546612,9014931
66895,27099
66895,1072173
1125746,1540439
1125746,1776221
76859,54570
76859,2122933
4730113,15101606
4730113,845395
6126902,12855
6126902,38760
94817,2032787
94817,1971364
3106199,1678947
3106199,4134477
1607635,968637
1607635,968645
10421335,5818828
10421335,10188460
1455483,2006551
1455483,9194750
5205527,1974450
5205527,1970972
5175441,2094136
5175441,1992761
10897208,10223113
10897208,10223116
4913,2351011
4913,944846
10722595,12001722
10722595,10398975
15604,9028939
15604,17993699
949638,2198173
949638,6000602
15504542,12709924
15504542,13386300
57977,12205
57977,3093347
1538679,854785
1538679,1628178
15482680,6131141
15482680,3347635
16621490,12463742
16621490,1157068
5264974,2037305
5264974,1997598
5368829,2086966
5368829,2092761
18380,964580
18380,965120
5029200,2049956
5029200,6191169
2005989,351952
2005989,249752
838373,128783
838373,11487176
11590918,9522888
11590918,9522891
3933249,532515
3933249,9678899
132608,939330
132608,1754000
2230912,17294347
2230912,11574685
13407932,11758504
13407932,9899325
5212985,2002171
5212985,2088210
21152104,17712288
21152104,17909576
12053151,1079986
12053151,6084960
10409370,11143795
10409370,6228117
13507,3255960
13507,2510780
19521973,3347480
19521973,5731566
10531282,5947536
10531282,5948219
68405,1542853
68405,1340375
10529729,5944918
10529729,10070147
5256927,10082696
5256927,2043397
15446,1413617
15446,1341204
393,20678
393,2229209
5257469,2033264
5257469,2339315
4848642,2503279
4848642,2343726
6766,20607
6766,1266243
16243004,13382554
16243004,14159487
156949,959647
156949,594195
5196163,2018260
5196163,2018258
15187490,12762609
15187490,14189722
16480723,12711916
16480723,12702401
3181378,2382169
3181378,2384353
81067,631958
81067,33183
10408966,6190768
10408966,6206904
21038999,19494736
21038999,18649482
63661,694241
63661,26821
977285,2451043
977285,2451096
56764,2043615
56764,2339964
10515112,3232722
10515112,52909
4253871,2179391
4253871,9945892
3519934,10912838
3519934,1579965
10409529,6193406
10409529,6302054
6777367,3635560
6777367,3349523
5588222,5746353
5588222,985478
13433329,11654765
13433329,11655499
5228456,1945608
5228456,2007095
121579,482662
121579,620094
4693370,2741886
4693370,2108484
12519302,12278042
12519302,12652079
5835288,2201478
5835288,2196386
693802,31253
693802,13902510
15482512,2249383
15482512,10019186
5154234,1943527
5154234,1972627
41502,3093923
41502,561235
5154942,1952344
5154942,5943519
10427146,5941727
10427146,5820196
5227549,2091322
5227549,2001213
5177225,2093012
5177225,1984100
5205531,1971801
5205531,1974441
5175981,1990962
5175981,1982275
2046,31949
2046,18209
1513797,965941
1513797,963171
285947,557387
285947,312670
5550436,1739629
5550436,1739329
